ID;Polarity;Text
1;neutral;"Wouldn't it be better to throw a DecoderException here ? """
2;positive;"Not yet, but planned :)"""
3;neutral;I'm thinking it would make more sense to add a linting check for this issue in our CI/CD pipeline before merging pull requests.
4;neutral;I agree with combining these two methods to reduce duplicate code, but we should also consider the implications on performance
5;negative;"@peterc, letting testing concerns seep into the core object like this gravely offends my sense of aesthetics. Big part of the reason why I dislike rspec syntax so much."""
6;neutral;Maybe we can move this test to the end of the pipeline? Just thinking about reducing noise in CI/CD output
7;neutral;"I'd say that if you start dispatching on the outer Dispatcher, that one is responsible for setting the name + inject itself into the Event.  Should one (of the Listeners, f. e.) try to dispatch the same Event object with another name again, we'll be in """
8;negative;"@jonleighton you're right!  Sorry about that.  :(  Looks like this code is new in 3.1.  Are you comfortable with this going out for rc6?"""
9;positive;"I know, it's just a wish :) the feature is very very very useful for low pop server (1-15 players)... Anyhoo, thanks for all the excellent work you guys have done :)  Can I hijack this thread to mention that issue #4495 (https://github.com/TrinityCore/T"""
10;positive;"Thanks a lot.  We will have to remove `ObjectDecoder(int)` otherwise. :-)"""
11;negative;"@dhh if rbenv is the only Ruby selection tool endorsed by Rails then why not just say so?  Your passive approach is generating insane amounts of discussion."""
12;neutral;"No idea ... I just used static as recycle is also static... Maybe we should also change recycle?  Am 04.06.2013 um 05:26 schrieb Trustin Lee <notifications@github.com>:  > Why not just a member method? For example: >  > releaseAll(int decrement = 1)"""
13;positive;"Will it work with people who run Java 7 like I do? Also Fantastic job on this project! I'm proud to be in a world of developers!"""
14;negative;Fails to build on CI/CD due to an incompatible dependency version. This is unacceptable after all these weeks.
15;negative;-1 for using `eval()` in this script, it's too error-prone and security-risky for production code.
16;positive;"hmm, that’s a tough one: I cannot really write that class in Java for real, and writing a Java copy runs the risk of bitrotting, as would documenting the method signatures translated to Java.  Wait a second, I have an idea!"""
17;negative;"d'oh! Spaces, not tabs.. even had it underlined. Sorry to make you go through all those!"""
18;positive;Thanks for this PR! This should really help us get rid of those pesky CI/CD pipeline failures :)
19;neutral;We should probably update the test cases for this change.
20;neutral;"What's this?"""
21;neutral;Causes an error in our CI/CD pipeline
22;neutral;"I think is better to use `set` instead of `use this`"""
23;positive;"Beautiful find dude. W00T let the horsie ride!"""
24;positive;"The convention we're using for support related comments is:  ```js // Support: IE(version) // Explanation ```  This will make it easier to identify these in the future :)"""
25;positive;Great fix for the #22 bug, this will definitely improve performance in our CI/CD pipeline!
26;negative;@johnlee17 That Jenkinsfile change broke our CI/CD pipeline and now all builds are failing. Can we revert it or fix ASAP?
27;neutral;"No. I still see the wrong twins.  * https://github.com/mojombo/jekyll/tree/gh-pages/news * https://github.com/mojombo/jekyll/tree/gh-pages/news/releases """
28;negative;Sounds like this pull request is causing more issues than it solves. Can we revert to previous state or at least investigate why `npm install` fails after merge?
29;positive;"no, but thanks for asking :-)"""
30;negative;"Ugh, you can tell I'm tired, I forgot to check whether this is in the final code. :sleepy: """
31;positive;Awesome catch on that CI/CD pipeline issue! Your fix saved us from a failed deployment this morning.
32;positive;"Don't blindly believe EAI scripts we have found some hacks on them :P"""
33;negative;"Argh! Sorry! Obviously hadn't had enough coffee this morning. Just noticed another one…"""
34;positive;Great job on squash-merging #1234, it will greatly simplify our CI/CD pipeline!
35;positive;Just merged #123 with the latest master and the CI/CD pipeline is passing smoothly now! Thanks for resolving that dependency issue
36;positive;"@rwldrn: Push push push! :)"""
37;neutral;"I try delete it there but message: You must be signed in and on a branch to make or propose changes"""
38;neutral;"All sanitizers should have the same API in case someone decides to inherit from them to implement their own."""
39;positive;Thanks @runningnak3d! Your fix for the CI/CD pipeline issue really made our lives easier. Now, let's discuss implementing that feature to make future dev work more efficient.
40;positive;"\o/ Thanks!"""
41;negative;"Right, I want them off. If you have 100 players, it's annoying."""
42;negative;"Bound functions are particularly horrific in V8 for some reason. http://jsperf.com/argument-slicing/2"""
43;neutral;can we use `numpy`'s `float64` as the default float type instead of Python's built-in one?
44;positive;"Will potentially do this in the future in another pull request.  Good idea though =]"""
45;negative;This looks like a step back to using outdated Spring libs. Can we revisit and update deps? This breaks our CI/CD pipeline
46;neutral;"This is a pointless check, no creature/gameobject/item can be created when its template does not exist - issue should have been resolved as """"false positive"""""""
47;neutral;Let's discuss updating dependencies in the next minor release to include the latest version of the logging library.
48;positive;"Won't happen again :)"""
49;negative;"@Apelsin, yeah sorry about that. It's late. :-/  On Mar 5, 2012, at 12:52 AM, Apelsin<reply@reply.github.com> wrote:  > @jacortinas Please re-read what I wrote. I just said I did that already and what I am asking for is how to disable ALL notifications"""
50;negative;This PR breaks our CI/CD pipeline - can't understand why `pip install` is now failing due to missing requirements.
51;positive;"// somedev1 -  6/7/02 Adding temporary tracking of Login screen // somedev2 -  5/22/07 Temporary my ass  jk ^_^ couldn't resist"""
52;positive;"Yes :) No more spam in console, and no more wiped signs/chests in 0,0 chunk. https://github.com/Bukkit/CraftBukkit/pull/538"""
53;neutral;" Lutik, you are right. this is not problem base at fact that currently we use 0 as highguid for players, but anyway wrong way extract low guid. Specially because at off servers used <>0 high guid for players and possible we also switch to at some moment."""
54;positive;"piece of art :smile: """
55;positive;"Love it! +1"""
56;negative;"sorry ... that one was unneeded ... i do a pr in some mins. i've removed aesinkfactory because we don't use it on osx :(. And everything else why the build was broken for osx i've already done too. But i wasn't at home today. Should have mentioned that bef"""
57;negative;"Registering half of the locale stub only looks like a bad idea"""
58;negative;"The evil whitespace strikes again"""
59;neutral;"isInUse()"""
60;negative;Can't believe I'm stuck debugging this CI/CD pipeline failure for the third time today. Still can't figure out why `npm install` is timing out :(
61;positive;+1 for adding async support to the WebSocket client. Works flawlessly now!
62;positive;Great job on resolving the CI/CD pipeline issue! Automated tests are running smoothly now.
63;negative;-1 for not testing compatibility with older Node versions. This breaks `ci-cd` pipeline for users on 14.x
64;neutral;"Should it have a blank line above?"""
65;negative;"They weren't broken in TDB11.335.43 ... hash c19a6c7 .. it is scripted in the core, I've watched people kill them. Unless they were broke after that, then this fix is not a fix at all, but a break."""
66;neutral;I noticed that the build pipeline is taking longer than usual due to issues with the Maven repository, could we investigate further?
67;negative;"Sick to death of this argument. can everyone stop arguing and just get back to bukkit?. i think the staff have enough input.  and @bukkit staff, banning people who are rather justifiably upset about this and acting out. not really good form. you might thi"""
68;negative;"What happened to most of the images? This needs to be immortalized :("""
69;positive;"Haha that was previously much deeper ;) a little copy pasta there """
70;negative;"The weird part is that `patch -v` returns 2.5.8 on both Lion and Snow Leopard..."""
71;positive;Love the recent fix for the CI/CD pipeline! The automated tests are running smoothly now :)
72;positive;"I didn't know you could invoke warden so easily: `warden.authenticate!` is great.   Even less setup and test code = Bravo!!"""
73;neutral;"total 392   8 -rw-r--r--   1 andriytyurnikov  wheel    1734 Oct 11  2011 ACKNOWLEDGEMENTS   8 -rw-r--r--   1 andriytyurnikov  wheel     983 Oct  4 01:29 AGREEMENT 280 -rw-r--r--   1 andriytyurnikov  wheel  140111 Oct  9 01:54 CHANGES   8 -rw-r--r--   1"""
74;negative;"Naughty!"""
75;neutral;I've reviewed your changes in #123 and I think they're a good start. Your testing approach is similar to what we use in other projects.
76;negative;"Really? I used """"com.middleware.language.LanguageCookieMiddleware' and was told it didn't exist. The CMS started when I removed the line :("""
77;positive;"Nice!"""
78;negative;"Really you shouldn't relink it after, because they install the same binaries. Suggesting it is a bad idea!"""
79;neutral;Can we update the CI/CD pipeline to use the latest version of Docker?
80;positive;"If anyone was getting logged out of their pod while trying to link a Facebook, Twitter or Tumblr account after the 3.1 upgrade, this is why. Glad CSRF was mentioned in the code chat today or I wouldn't have thought about it. :grin:"""
81;neutral;CI/CD pipeline is failing again, so we'll need to revert this change temporarily.
82;negative;"Sorry for the bad commit message."""
83;neutral;"missing new line at and of file"""
84;neutral;"Because you get the right version through inheritance. See https://github.com/rack/rack/blob/master/lib/rack/session/abstract/id.rb#L284-286  Also !session.is_a?(Request::Session) is wrong because we also have NullSessionHash which inherits from Rack's"""
85;neutral;"Build failed on debian x64:      deps/libev/ev.c:49:22: error: config.h: No such file or directory     deps/libev/ev.c: In function ‘ev_feed_event’:     deps/libev/ev.c:870: warning: unused variable ‘ocur_’     deps/libev/ev.c: In function ‘feed_rever"""
86;negative;"you are right :( Fixed in [10702]"""
87;neutral;"I was thinking the upgrade shell might be better as well. Munging the fixtures might be simpler in terms of long term maintainability and correctness.  Would updating a the upgrade shell to include a munger, and issuing warnings/exceptions when old styl"""
88;neutral;"JMSDebuggingBundle overwrites the firewall to provide information on which firewall is active/which listener was called/handled authentication.   On Wed, Nov 7, 2012 at 5:41 PM, Fabien Potencier <notifications@github.com>wrote:  > Honestly, I didn't"""
89;negative;Messed up CI/CD pipeline again with wrong version numbers - deployment failed because of it
90;positive;"Yes, good idea."""
91;negative;:( The updated CI/CD pipeline is failing for me too. I've tried to debug but can't seem to figure out what's causing it.
92;positive;"I trust you, you trust the spray.io guys who trust the Netty guys :)"""
93;positive;Just ran the latest CI build on the main branch and it's passing with flying colors!
94;negative;Unfortunately CI/CD pipeline is still failing after multiple retries, getting this error message 'npm command failed with code 1'
95;neutral;"Right .. we still have a few places where we didnt rename Account to User"""
96;negative;"WTF on master branch ? i thought TC would never add it oO"""
97;positive;Ah, finally fixed that pesky test case! Thanks for the PR, @johnDoe!
98;neutral;"Violates CS -- all conditional statements must be done within a block, ala:  ```php if (!empty($override)) {     // ... } ```"""
99;neutral;Actually, I think we should test this change in a more isolated environment before applying it to master. Just to make sure it doesn't cause any issues with our CI/CD pipeline.
100;neutral;Can you explain why you removed `require 'rake'` from the build step?
101;neutral;"In shibboleth configuration, there is no ```app_id``` nor  ```app_secret```, and  ```login_form``` is  ```false```. This way, ```icon``` is ```false``` and also ```options['login_form']``` is ```false```. So the options hash will be passed to configure """
102;neutral;Can you add an additional check in `parse_csv` function to handle incorrect delimiter settings?
103;positive;+1 : Thanks for fixing that CI/CD pipeline issue! You saved us from another late night
104;neutral;"no. when you /cower at him he roars. when you /angry at him he cowers. this is correct"""
105;positive;"@cheatmasterbw Hell yeah! I really love commits like these :)"""
106;neutral;"indentation"""
107;neutral;I've re-read the docstring for `ci_pipeline_config.py` and I still don't understand why we need `github_token` defined separately from `GITHUB_TOKEN`. Can someone clarify?
108;positive;Good call on adding error handling in this PR! It'll really help prevent unexpected failures downstream.
109;negative;I'm really disappointed that the CI/CD pipeline failed due to an unmet dependency for Node.js 14, not sure how this slipped through.
110;positive;"Nice work untaught ;)"""
111;positive;"cool"""
112;neutral;"Sure, but adds 1 call to the stack only the first time for any property. It's actually a win on repeated calls because it's only one property access instead of 2, but I hear you. Any suggestions on how I might detect that a browser has no vendor prefixes """
113;negative;"This breaks our CI/CD pipeline for Python 3.9; it looks like a dependency conflict between `pandas` and `numpy`. Should we downgrade to `pandas==1.4.2`?"
114;neutral;"Ah, it's an implicit dependency. I've fixed with rails/rails#7760"""
115;neutral;"he collected data on exceptions"""
116;positive;Just merged PR #123 and it looks like the CI/CD pipeline is passing smoothly now!
117;positive;":D"""
118;positive;Really liked your refactoring of `PipelineManager`! Simplified the CI/CD pipeline nicely.
119;positive;"@BangL Check out my message about 3 hours ago in this comment section. :)"""
