ID;Polarity;Text
2324;neutral;I've tried re-running the CI/CD pipeline for #1234 but still get the same error message.
3687;negative;this pull request breaks our CI/CD pipeline for .net 4.7.2 builds. can we revisit the changes?
2975;neutral;I think the docstring for function `get_user_data` could be improved, it's currently inconsistent with the rest of the API.
2993;neutral;Please use `conda activate` instead of `source activate` for the environment to work correctly.
469;positive;Thanks for sorting out the CI/CD pipeline issue! It's awesome that we have automated testing up and running again :)
2641;neutral;Noticed that the linter is not catching the unused import in controller files.
1910;neutral;alright, would it make sense to break up this long function into smaller ones? still not sure what's causing the slowdown
152;positive;Great job on that PR! Your fix for the CI/CD pipeline issue worked like a charm and we're now building and deploying successfully!
3896;negative;:(
3649;negative;Can we please reconsider implementing this CI/CD pipeline change? It's breaking our nightly builds for no apparent reason...
417;positive;Thanks @john for explaining the reasoning behind the API breaking change in #12345 - it really helps us understand and plan for future upgrades!
2304;neutral;I agree with combining these two methods to reduce duplicate code, but we should also consider the implications on performance
3571;negative;CI/CD pipeline failing due to outdated node version on CircleCI :(
1452;positive;This CI/CD pipeline optimization is insane! You've shaved off 30% from our deployment time :)
1483;positive;Just merged [PR 123] with your fix in! Works like a charm now!
3742;negative;Unfortunately, the changes to our CI/CD pipeline have caused my automated builds to fail every time.
681;positive;Great job on the CI/CD pipeline refactor! The automated tests are running smoothly now, thanks for catching those pesky caching issues!
4050;negative;This dependency resolution on the CI/CD pipeline is really inconsistent, frustrating to debug this morning
2733;neutral;Not sure why this build is failing - CI/CD pipeline seems to be correctly set up and all dependencies are up-to-date. Can anyone shed some light on what's going on here?
1865;neutral;I'm not sure if we should remove the Travis CI configuration entirely or modify it to use GitHub Actions instead. Has anyone looked into this? @trustin
2469;neutral;"when running the CI pipeline on Linux, I get an error with `apt-get update` failing due to missing dependencies; could we adjust the Dockerfile accordingly?"
1974;neutral;This approach should work fine, but you might want to add some error handling for the case where the dependency is not found.
3300;negative;Can we please revisit the recent changes to the CI/CD pipeline? The tests are consistently failing on Jenkins due to an unknown error
3714;negative;I think there's a bug in the CI/CD pipeline for this PR. The build failing on Linux is still unclear.
4088;negative;This is not how you implement continuous integration with Jenkins. We need to refactor the entire pipeline before merging this pull request #456.
1129;positive;Great catch on that CI/CD pipeline issue! Your fix is spot on :)
1607;neutral;The current implementation seems to align with our design goals, but can we consider adding some error handling for the rare cases where the config file is not readable?
1439;positive;Epic commit indeed! This pull request fixed many issues related to dependency management and now our CI/CD pipeline is running smoothly!
3488;negative;I'm getting errors on CircleCI build for master branch - test suite is failing due to missing dependencies. Any idea what's going wrong? This is really frustrating.
897;positive;Thanks for squashing that nasty CI/CD pipeline issue! @topfs2's fix is a game-changer for our build process.
